id,age,educate,income,vote,white
1,60,14.0,3.3458,1,1
2,51,10.0,1.8561,0,1
3,24,12.0,0.6304,0,1
4,38,8.0,3.4183,1,1
5,25,12.0,2.7852,1,1
6,67,12.0,2.3866,1,1
7,40,12.0,4.2857,0,1
8,56,10.0,9.3205,1,1
9,32,12.0,3.8797,1,1
10,75,16.0,2.7031,1,1
11,46,15.0,11.2307,1,1
12,52,12.0,8.6696,1,1
13,22,12.0,1.7443,0,1
14,60,12.0,0.2253,0,1
15,24,14.0,4.3348,1,1
16,30,10.0,0.7953,1,1
17,46,12.0,2.9072,1,1
18,69,9.0,1.1893,1,1
19,60,12.0,1.1277,1,0
20,34,12.0,0.5523,1,1
21,76,14.0,0.7294,1,1
22,29,12.0,4.3348,1,1
23,49,13.0,7.7751,1,1
24,29,14.0,3.1356,0,1
25,47,16.0,5.2331,1,1
26,39,16.0,10.0376,1,1
27,58,8.0,4.6408,1,1
28,44,12.0,3.7972,1,1
29,22,8.0,0.2071,0,1
30,31,12.0,11.2307,1,1
31,74,12.0,0.8236,1,1
32,40,12.0,4.4578,1,1
33,27,12.0,3.58,1,0
34,65,8.0,2.917,1,1
35,70,5.0,4.0702,1,0
36,34,12.0,3.3834,1,1
37,54,12.0,4.9624,1,1
38,23,7.0,3.2949,0,1
39,84,8.0,0.7294,0,1
40,37,16.0,5.9111,1,1
41,67,14.0,1.838,1,1
42,33,12.0,1.7443,1,0
43,22,12.0,3.7972,0,1
44,57,12.0,4.9624,1,1
45,26,11.0,4.669,1,1
46,23,12.0,3.3834,1,1
47,79,10.0,1.864,1,1
48,53,8.0,0.7953,1,1
49,25,12.0,5.8684,0,1
50,38,9.0,0.6765,0,0
51,68,8.0,2.7068,1,0
52,28,16.0,3.4183,1,1
53,43,15.0,2.8311,1,1
54,80,12.0,0.1727,0,1
55,31,12.0,2.3866,0,1
56,29,12.0,3.1676,1,1
57,37,13.0,4.3754,1,1
58,68,14.0,1.8429,0,1
59,50,12.0,13.3041,1,1
60,50,14.0,7.8949,0,1
61,37,13.0,0.6304,0,1
62,59,12.0,3.4183,1,1
63,35,16.0,3.58,1,1
64,35,15.0,7.0036,0,1
65,49,8.0,2.4811,1,1
66,44,16.0,9.3205,1,0
67,77,12.0,3.7435,1,1
68,22,10.0,1.4498,0,1
69,80,14.0,0.5813,1,1
70,48,11.0,7.0036,1,1
71,24,15.0,2.7722,1,1
72,42,16.0,7.5945,1,1
73,67,19.0,6.0903,1,1
74,42,10.0,1.2659,0,0
75,54,10.0,4.6408,1,1
76,45,12.0,5.2331,1,1
77,57,9.0,1.1277,1,1
78,46,12.0,0.4607,0,0
79,58,12.0,3.7972,1,1
80,76,4.0,2.5196,0,1
81,28,16.0,0.1936,1,1
82,41,10.0,5.2331,1,1
83,83,8.0,1.3131,0,1
84,47,12.0,5.2331,1,0
85,81,12.0,1.4498,1,1
86,59,8.0,3.3102,1,1
87,20,16.0,1.2094,1,0
88,45,8.0,1.8561,1,1
89,76,6.0,0.5813,0,1
90,53,9.0,4.9624,1,1
91,40,16.0,5.2331,1,0
92,38,12.0,4.6408,1,1
93,30,15.0,7.7751,1,1
94,29,19.0,2.522,1,1
95,72,12.0,0.4607,1,1
96,78,6.0,0.7568,1,1
97,65,13.0,3.7042,1,1
98,31,12.0,3.3558,1,1
99,21,12.0,4.8901,1,1
100,50,12.0,4.6408,1,1
101,25,12.0,4.4876,1,1
102,71,11.0,0.7294,1,0
103,49,14.0,7.7751,1,1
104,47,9.0,3.3458,1,1
105,37,13.0,2.2706,1,0
106,31,16.0,6.274,1,0
107,54,12.0,4.0702,1,1
108,40,16.0,6.7838,1,1
109,29,12.0,3.4183,1,1
110,42,12.0,7.0036,1,1
111,67,16.0,5.9469,1,1
112,69,12.0,4.2313,1,1
113,54,12.0,2.917,1,1
114,63,8.0,1.3566,1,1
115,45,8.0,8.7517,1,1
116,38,12.0,6.9491,1,1
117,64,10.0,4.3754,1,1
118,45,12.0,2.917,1,1
119,40,11.0,4.8901,0,1
120,27,14.0,3.58,1,1
121,31,11.0,6.3304,1,1
122,25,15.0,3.8606,1,1
123,35,12.0,2.5545,1,1
124,21,12.0,4.0702,1,1
125,55,12.0,8.3565,1,1
126,48,10.0,2.917,1,1
127,41,15.0,4.4876,1,1
128,43,6.0,1.4055,1,1
129,56,12.0,5.8684,1,1
130,44,12.0,5.8684,1,1
131,24,12.0,2.7722,0,1
132,58,6.0,0.6911,1,0
133,48,6.0,1.9045,1,1
134,35,12.0,5.9469,1,1
135,37,16.0,3.9394,0,1
136,31,13.0,5.3986,1,1
137,27,9.0,2.2092,0,1
138,28,13.0,10.0376,1,1
139,62,10.0,2.1885,0,1
140,66,12.0,2.7031,1,1
141,23,12.0,4.0006,0,1
142,44,19.0,11.8939,1,1
143,31,12.0,1.261,1,1
144,32,8.0,2.9072,1,1
145,23,12.0,2.1279,1,1
146,29,12.0,3.4183,0,0
147,59,12.0,2.5196,1,1
148,35,15.0,6.5589,1,1
149,38,5.0,1.4498,1,1
150,95,14.0,0.7594,1,1
151,22,12.0,0.253,0,0
152,48,10.0,1.4974,0,1
153,29,12.0,2.5196,1,1
154,62,8.0,2.9072,0,1
155,26,16.0,5.19,1,0
156,46,19.0,4.9624,1,1
157,36,12.0,2.7068,1,1
158,35,8.0,1.4055,1,1
159,40,15.0,13.6702,1,1
160,55,14.0,5.9111,1,1
161,27,12.0,1.8127,1,0
162,53,10.0,3.58,1,1
163,72,14.0,3.2949,1,1
164,38,12.0,3.46,0,1
165,83,8.0,0.7294,1,1
166,26,6.0,2.2788,1,1
167,30,12.0,4.0702,0,1
168,45,13.0,3.3102,1,1
169,27,14.0,6.6992,1,1
170,29,12.0,4.3348,0,1
171,27,12.0,2.8997,1,1
172,55,12.0,2.3866,1,1
173,27,12.0,1.8429,1,1
174,37,19.0,6.3352,1,1
175,87,12.0,0.6911,1,0
176,64,5.0,1.7723,1,1
177,79,7.0,1.838,1,1
178,60,12.0,2.5196,1,1
179,39,19.0,11.8939,0,1
180,64,14.0,4.6493,1,1
181,36,14.0,7.7751,1,1
182,35,12.0,3.3834,1,1
183,27,16.0,4.0702,1,1
184,28,14.0,4.0702,1,1
185,22,12.0,2.8311,0,1
186,60,12.0,4.4876,1,1
187,23,14.0,2.2706,0,1
188,66,8.0,0.2917,0,1
189,26,17.0,6.274,1,1
190,17,14.0,6.7838,1,1
191,51,19.0,8.4934,1,1
192,31,14.0,4.4578,0,1
193,74,9.0,1.0809,1,1
194,43,12.0,6.0903,1,1
195,32,19.0,7.5945,1,1
196,44,16.0,8.7517,1,1
197,26,14.0,5.2331,1,1
198,21,12.0,2.4868,1,1
199,26,15.0,5.19,0,1
200,51,12.0,5.8684,1,1
201,77,16.0,0.1544,1,0
202,48,12.0,4.2857,1,1
203,35,19.0,3.8797,1,1
204,81,12.0,1.3898,0,1
205,33,14.0,0.9457,0,1
206,64,12.0,4.3195,1,1
207,25,12.0,8.7517,1,1
208,31,14.0,5.8684,0,1
209,71,10.0,2.7031,1,0
210,32,9.0,1.2659,1,1
211,23,16.0,0.5523,0,0
212,24,12.0,11.6294,1,1
213,53,12.0,2.4811,1,1
214,39,12.0,2.8311,1,0
215,60,8.0,2.5196,0,1
216,42,13.0,1.2094,0,1
217,49,19.0,4.3195,1,1
218,26,12.0,3.8797,1,0
219,49,14.0,3.7435,1,1
220,30,19.0,4.8954,1,1
221,22,12.0,2.1319,0,1
222,29,12.0,3.4183,1,1
223,30,19.0,2.7068,1,1
224,23,11.0,1.0212,1,1
225,30,12.0,1.726,0,1
226,41,19.0,3.2449,1,1
227,59,12.0,4.6408,1,1
228,62,17.0,7.7751,1,1
229,24,9.0,3.7042,0,1
230,29,19.0,2.1885,1,1
231,34,6.0,1.7723,1,1
232,41,14.0,4.4876,1,1
233,69,12.0,2.4189,1,1
234,21,12.0,3.7972,1,1
235,39,16.0,11.6294,1,1
236,66,8.0,0.9457,1,1
237,84,5.0,0.9214,0,1
238,30,12.0,2.7722,0,1
239,25,15.0,0.1544,0,1
240,68,14.0,2.8311,1,1
241,26,19.0,3.0639999999999996,1,1
242,25,12.0,4.0702,1,0
243,71,10.0,0.8236,1,0
244,80,8.0,1.1839,1,1
245,76,8.0,0.253,1,1
246,28,16.0,2.7852,1,1
247,33,14.0,5.6622,1,1
248,69,8.0,2.7722,1,1
249,58,12.0,2.7031,1,1
250,23,16.0,1.3566,1,1
251,23,12.0,2.522,1,1
252,89,19.0,5.6622,1,1
253,71,7.0,1.0809,0,1
